Time stamp,Paris Day text,Paris Day Type,Paris third,Location of photo,Coordinate,Instagram user,Instagram post,Instagram link,Instgram photo,,,,,,,,
"July 23, 2015 at 08:49AM",Wednesday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",jules_mairesse,WEDDING BOUBOU,https://instagram.com/p/5c9HMOseOj/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11375784_108781409468386_1772444789_n.jpg,,,,,,,,
"July 23, 2015 at 06:10PM",Thursday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.886137804,2.341375351&z=19",paolobolo,#Paris#Anatra#Duck#Montmartre#Brasserie#Red#Wine,https://instagram.com/p/5d9YqeLcoP/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378550_495004624000416_527886203_n.jpg,,,,,,,,
"July 23, 2015 at 11:18PM",Thursday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.88583,2.342908333&z=19",jojojule,#takeusback #aufallefällenochmal #paris #allegutendingesinddrei,https://instagram.com/p/5egjr6PViB/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378950_1627185974203812_1813320193_n.jpg,,,,,,,,
"July 22, 2015 at 09:58PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",alain_ben,#midnightinparis,https://instagram.com/p/5bynXQlr1d/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378992_1616622881954003_1897079040_n.jpg,,,,,,,,
"July 23, 2015 at 11:18PM",Thursday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.886711502,2.34093214&z=19",talimiguel,,https://instagram.com/p/5egoeJlzMg/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379763_954678601254934_1168235692_n.jpg,,,,,,,,
"July 23, 2015 at 06:58PM",Thursday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.87512894,2.296033095&z=19",thefroginthemug,Paris est encore plus beau au réveil,https://instagram.com/p/5eC1npBjGb/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379937_1654164828140200_80187531_n.jpg,,,,,,,,
"July 22, 2015 at 09:40PM",Wednesday,Weekday,8am - 4pm,South East,"https://maps.google.com/?q=48.8752594,2.2942901&z=19",manon_merie,Pour me faire boucler les cheveux????,https://instagram.com/p/5bwl7Gt_Hh/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380302_1687903261438011_1495130411_n.jpg,,,,,,,,
"July 22, 2015 at 03:21PM",Wednesday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.87403,2.29486&z=19",hicone,,https://instagram.com/p/5bFLIFvOZH/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380752_748905085235449_802495567_n.jpg,,,,,,,,
"July 23, 2015 at 02:16AM",Wednesday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.854211581,2.352619171&z=19",fernandopachecobellas,#ParisWorkingDay,https://instagram.com/p/5cQK92q-AP/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380839_462677457227674_214383438_n.jpg,,,,,,,,
"July 22, 2015 at 10:47PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",omardumeto,#señordelosmilagros #peru #paris #notredame #francia #perupresente,https://instagram.com/p/5b4MbRGERr/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11381361_865472163507674_169159619_n.jpg,,,,,,,,
"July 23, 2015 at 05:40AM",Wednesday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",ikieya,??,https://instagram.com/p/5cnkBHAtYw/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11417347_479586245548989_1128826396_n.jpg,,,,,,,,
"July 22, 2015 at 02:30PM",Wednesday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",badgalniek,????,https://instagram.com/p/5a_YwpnDxE/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11419053_938329579564364_1654957596_n.jpg,,,,,,,,
"July 22, 2015 at 04:54PM",Wednesday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.873187233,2.296212403&z=19",sussuch,Bonjour ???? #paris #run #morningrun #morning #behealthy #motivation,https://instagram.com/p/5bPz3DJcLX/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11419284_1688867208008858_546427921_n.jpg,,,,,,,,
"July 24, 2015 at 11:16AM",Friday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.886137804,2.341375351&z=19",lorenelnrpa_risienne,Insomnie parisienne. ?? #Paris #Montmartre,https://instagram.com/p/5fywd3pknz/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11420514_1632059553700607_1816354208_n.jpg,,,,,,,,
"July 23, 2015 at 05:30AM",Wednesday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.855591849,2.352115503&z=19",rbkdtch,Florence Welch tu es mienne ?????? #FlorenceAndTheMachine,https://instagram.com/p/5cmWR1NHuP/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11420742_1626119707671843_262475648_n.jpg,,,,,,,,
"July 22, 2015 at 06:57PM",Wednesday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.8870888,2.34343&z=19",ian_johnstone1,Different ways of seeing #church #christian #building #sky #blue #sunny #colours #sacrecœur #montmarte #france #french #français #soleil #travel #travelling #travelgram #instatravel #instafrance #igtravel #beautiful #adventure #abroad #backpacking,https://instagram.com/p/5bd5ySyXOO/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11424669_1455698051398481_754485846_n.jpg,,,,,,,,
"July 24, 2015 at 03:28AM",Thursday,Weekday,4pm - 12am,North East,"https://maps.google.com/?q=48.884066667,2.343421667&z=19",ali_ains,L.O.V.E #paris #apartment #holidays #airbnb,https://instagram.com/p/5e9PDfAjsI/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11426208_108932112786830_1215746968_n.jpg,,,,,,,,
"July 23, 2015 at 12:24PM",Thursday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.886694444,2.343&z=19",burcubabayigit,"""You can't control the past, but you can control where you go next.""",https://instagram.com/p/5dVuvQuzIL/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11426367_857774887643170_1717250143_n.jpg,,,,,,,,
"July 23, 2015 at 08:19AM",Wednesday,Weekday,4pm - 12am,North East,"https://maps.google.com/?q=48.8857498,2.34588&z=19",enrangdoignons,"Sept plats plus tard, c'est cette brioche feuilletée ?la tomate qui me rappelle. Fondante, croustillante, parfaitement végétale et séduisante jusqu'aux petits cristaux de sel, taquins, un gros bonheur. Très direct. J'en profite pour clamer haut et fort que Guillaume Sanchez fait son pain, non sans un sacr?savoir-faire. Jolie prouesse pour un Nomophobe de 24 ans au style un tantinet plus tremp?que celui d'Andr?del Sarte. @osanchaise",https://instagram.com/p/5c5vO8gcSz/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11426661_339896946181042_2009818849_n.jpg,,,,,,,,
"July 23, 2015 at 08:44AM",Wednesday,Weekday,4pm - 12am,North West,"https://maps.google.com/?q=48.854211581,2.352619171&z=19",missbbeycaro225,"Let's go to #Work , en route pour le #Travail #today #me #ivorian #beauty #french #Paris #team225 #blackgirl #chocolategirl #browngirl #brownbeauty #peufra #doubletap lol #blackskin #darkskin #blackisbeautiful #dope #fashionkiller #style #swagg",https://instagram.com/p/5c8oJtouM5/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11427450_1475880052723487_2126704094_n.jpg,,,,,,,,
"July 22, 2015 at 10:26PM",Wednesday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.884807,2.343299&z=19",forte050789,??????? ??? ?? ???????...,https://instagram.com/p/5b1ywxzNQn/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11428149_937191926353294_654726745_n.jpg,,,,,,,,
"July 23, 2015 at 10:42AM",Thursday,Weekday,12am - 8am,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",irene_yelin,?????? #???????#??#????#???#??,https://instagram.com/p/5dKD0gy38e/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11429532_1455497474774557_2143816714_n.jpg,,,,,,,,
"July 22, 2015 at 08:49PM",Wednesday,Weekday,8am - 4pm,North West,"https://maps.google.com/?q=48.853816894,2.348229582&z=19",jordannahleach,Farewell Paris - until we meet again ???????? #notredame #paris #cantwaittoseeyounick,https://instagram.com/p/5bqw7BFI_S/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/1538370_1612611329020618_1962098973_n.jpg,,,,,,,,
"July 23, 2015 at 06:13PM",Thursday,Weekday,8am - 4pm,South East,"https://maps.google.com/?q=48.8710098,2.2933199&z=19",angelinamaggie,Beaut?#perfect #boy #mybaby,https://instagram.com/p/5d9siKDzxV/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/e15/10013334_1685882524967128_552594099_n.jpg,,,,,,,,
"July 24, 2015 at 12:22AM",Thursday,Weekday,8am - 4pm,North East,"https://maps.google.com/?q=48.8738,2.295&z=19",uesenn,,https://instagram.com/p/5en57Jto7h/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/e15/11266518_518021455019861_475814094_n.jpg,,,,,,,,
"July 23, 2015 at 03:13PM",Thursday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.8738,2.295&z=19",titi_kamall,Touristy photo???? Paris,https://instagram.com/p/5dpCPhpydt/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/e15/11267049_1661729164042780_1028256261_n.jpg,,,,,,,,
"July 24, 2015 at 01:48PM",Friday,Weekday,12am - 8am,North East,"https://maps.google.com/?q=48.888731631,2.344814949&z=19",lucille__v,Merci @make_me_byenzo je crois que c'est notre plus beau souvenir de vacances #sansplomb98,https://instagram.com/p/5gEHVkKVzH/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/e15/11313772_910978055616316_1256058262_n.jpg,,,,,,,,
