Time stamp,Paris Day text,Paris Day Type,Paris third,Location of photo,Coordinate,Instagram user,Instagram post,Instagram link,Instgram photo,,,,,,,,
"August 16, 2015 at 03:02PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",hxmsi_,"#tb to Paris with Megsy?? I miss you boo?? Can't wait for our next adventure ?? I can't wait for you to come to UK???? Love you boo

#whitagram #vscocam #vsco #friendship #travel #throwback #paris #france #europe #eiffel #toureiffel #eiffeltower #7wonders #bucketlist #spring #fun #friends #wander #notredame #friendshipgoals #wanderlust",https://instagram.com/p/6ba4PeTJFu/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11356825_1901224236769809_1478312393_n.jpg,,,,,,,,
"August 16, 2015 at 03:23PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",lenaprokofyeva,@aesavkina ??,https://instagram.com/p/6bdWKMn8sZ/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11906103_1637420116539444_1994451874_n.jpg,,,,,,,,
"August 16, 2015 at 03:29PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",eli_a_nita,Desde abajo ??,https://instagram.com/p/6beCEIwHfg/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11371047_901279076592067_54832800_n.jpg,,,,,,,,
"August 16, 2015 at 03:30PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",dr5weld,#Paris #EiffelTower #France ????,https://instagram.com/p/6beI89vtGC/,https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/s640x640/sh0.08/e35/10859944_1673211999568330_1044677255_n.jpg,,,,,,,,
"August 16, 2015 at 03:32PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",eli_a_nita,Infinita ????????????????,https://instagram.com/p/6beWtgwHf7/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11821776_885961198157628_1444680113_n.jpg,,,,,,,,
"August 16, 2015 at 03:35PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",eli_a_nita,Tiene buena onda ??,https://instagram.com/p/6beu1awHQr/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11311346_1599458936987556_1743515206_n.jpg,,,,,,,,
"August 16, 2015 at 03:36PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",mariapustota,?? #Paris,https://instagram.com/p/6bewecrIQF/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11349377_520015998165727_1810261116_n.jpg,,,,,,,,
"August 16, 2015 at 03:38PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",mariapustota,To all the happy moments #Paris,https://instagram.com/p/6be-UsrIQl/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11856584_1485005061810677_1110285633_n.jpg,,,,,,,,
"August 16, 2015 at 03:43PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",yohanink,?Paris est une fête ?https://instagram.com/p/6bfo5aRSlR/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11326509_1101843183176350_1507240944_n.jpg,,,,,,,,,
"August 16, 2015 at 03:56PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",thereddevil85,"Eiffel Tower: Symbol of Love <3

Dedicated to Kiddo!

#paris #eiffel #love #lovesymbol #fromArchives #photography #amateurPhotography #pics #picoftheday #photos #camera #sonyhx10 #sony #camera #capture #photogram #instagram #instagrammers #dailyphoto #picture #moment ""D-5 Days""",https://instagram.com/p/6bhEWjvpc0/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11386476_1645308795753068_1551891364_n.jpg,,,,,,,,
"August 16, 2015 at 04:38PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",thedistrictsband,We're in France today! See you at La Route Du Rock Fest in St. Malo!,https://instagram.com/p/6bl5SCuYZh/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11358161_1479176235734930_393255578_n.jpg,,,,,,,,
"August 16, 2015 at 04:38PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",kim_hanmiru,#??? #?? #?? #?? #???? #???,https://instagram.com/p/6bl5rkm3X_/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11850321_964702213572470_1301403502_n.jpg,,,,,,,,
"August 16, 2015 at 04:45PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",stephneechai,"#PARIS , you're gorgeous. ~xo #FRANCE #chaisistersgoeseurope #EIFFEL",https://instagram.com/p/6bmugxSFCS/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11849942_421505388039923_1008386264_n.jpg,,,,,,,,
"August 16, 2015 at 04:49PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",newportcoastcloset,SO Pretty!!! ??????#eifeltower #paris #france #luxury #vacation #international #travel #swimwear #entrepreneur #blessed #love #model,https://instagram.com/p/6bnLjExHzR/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11363851_435912669943892_899301178_n.jpg,,,,,,,,
"August 16, 2015 at 04:58PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",sulaiman_alfurayhidi,????????? ???? ???? ?? ???? ?????,https://instagram.com/p/6boMoCvg65/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11906350_1622678571354378_2134581980_n.jpg,,,,,,,,
"August 16, 2015 at 05:00PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",pjlcj1,"#bonjour Paris ..
.
.
.
.
.
#travel #traveling  #vacation #visiting #instatravel #instago #instagood #trip #holiday #photooftheday #fun #travelling #tourism #tourist #instapassport #instatraveling #mytravelgram #travelgram #travelingram #igtravel #?????_????? #????? #??? #???????  #follow #followme #paris #France",https://instagram.com/p/6boY_dOoY1/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11373957_490570474434938_1143869440_n.jpg,,,,,,,,
"August 16, 2015 at 05:02PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",karlacasablancas,?tout ?? #paris #france #summer #trio #eurotrip #wanderlust #travel #happy #instatravel #instagood #toureiffel #french #illbeback #fun #cruzandoelcharco #home,https://instagram.com/p/6booI3IJr3/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11378689_934870043214928_1033696807_n.jpg,,,,,,,,
"August 16, 2015 at 05:25PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",hy.nana,"?????? ???? ?? , ????? ?? ??? 
?? ?? ?????? , ????? ??? ??? ??? ????

#??? #??#???#???? #eiffeltower
#???? ???? ???
#??????? 2?? ??????
#???? ??? ???? ?? ??? ??",https://instagram.com/p/6brUMgkgY1/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11856831_1483621478619076_493411421_n.jpg,,,,,,,,
"August 16, 2015 at 05:27PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",nawwaryazbek,No filter  ??? ???? ???? ????? ? ? ???? ????? ???? ??????? ?????? ??,https://instagram.com/p/6brifRkhpF/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11821954_1013166055381455_721300855_n.jpg,,,,,,,,
"August 16, 2015 at 05:32PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",miss__cell,,https://instagram.com/p/6bsFSaE3v0/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11348220_1456285234678057_377885474_n.jpg,,,,,,,,
"August 16, 2015 at 05:33PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",mira_me_,Dream came true????? ????????? ??????...????????? ?? ???????? ????? ????? ????? ???????? ???????))) ? ???? ?????? - ????? ?????? ? ???????? ?????? ?????? ????? 7-10 ??????????? #????#feet#instatrip#eiffeltower#vscocam#vscocity#vscotrip#vscoparis#vscofrance#ticket#instadaily#instaparis#instafrance#?????????????#???????#?????#trip#travailing#lovely#perfect#bestnight#beautiful#blogger#blog#life,https://instagram.com/p/6bsJ4cJE39/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11351775_890283994389888_686272192_n.jpg,,,,,,,,
"August 16, 2015 at 05:38PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",wandreww5,?? ? #?????,https://instagram.com/p/6bstsASF4m/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11375392_1645134392368150_386730717_n.jpg,,,,,,,,
"August 16, 2015 at 05:38PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",mira_me_,"Fresh air...beautiful view????as you want))) ?????????????...?????? ???????? ?????????? ???????? ??????, ???????????? ?? ?????))) #beautifulview#vscocam#vscocity#vscotrip#vscoparis#vscofrance#panorama#bestnight#lovely#moments#instatrip#instaparis#instafrance#city#paris#france#???????#?????#awesome#perfect#life#trip#travailing#tagsforlikes#blogger#blog",https://instagram.com/p/6bsvyDJE4y/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11375807_1044903758855033_440329584_n.jpg,,,,,,,,
"August 16, 2015 at 05:44PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",mira_me_,Love it???? ??????? ? ????? ????? ????????????????? #travailing#trip#perfect#picsoftheday#eiffeltower#moments#lovely#vscocam#vscocity#vscotrip#vscofrance#vscoparis#awesome#holidays#bonjour#beautifulview#wonderful#withoutfilter#instatrip#instaparis#instafrance#fr#???????????#?????#?????????????#blogger#blog#beauty,https://instagram.com/p/6btZ-6pE5p/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11820547_883288078391163_237733524_n.jpg,,,,,,,,
"August 16, 2015 at 05:47PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",vi.aq,,https://instagram.com/p/6btxMwTJ4y/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11910273_1611081615832422_223511190_n.jpg,,,,,,,,
"August 16, 2015 at 05:55PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",brunettetracey,Moments like these ?? #inlove #eiffeltower #paris #couple #happy #mybestfriend #travelingtheworld #onestepatatime ??????,https://instagram.com/p/6busWNmgf9/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11910409_1655611714652624_1106357642_n.jpg,,,,,,,,
"August 16, 2015 at 05:57PM",Sunday,Weekend,12am - 8am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",tanichka_07,??????? ????,https://instagram.com/p/6bu8rYwJ0P/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11249731_393159897545451_306834346_n.jpg,,,,,,,,
"August 16, 2015 at 06:02PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",seraleev,???????????: ??????? ????? ???????? ?????????,https://instagram.com/p/6bvinyGDKU/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11821849_678897232211346_1398845306_n.jpg,,,,,,,,
"August 16, 2015 at 06:03PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",gokceryilmazz,#paris,https://instagram.com/p/6bvoR7mT8J/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11849943_435965646606967_1120724667_n.jpg,,,,,,,,
"August 16, 2015 at 06:50PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",ym6561,,https://instagram.com/p/6b1DePR550/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11311378_854151284680411_1101895169_n.jpg,,,,,,,,
"August 16, 2015 at 06:51PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",henriettelinck,????,https://instagram.com/p/6b1FuWTc-W/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11820623_895468467157205_2134296022_n.jpg,,,,,,,,
"August 16, 2015 at 06:53PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",georgie.bear,Au revoir #Paris ! ?? You were every bit what people say. ?? 'Til we meet again. #EiffelTower #TourEiffel @TourEiffel.Officielle @Eiffel.Tower.Paris #France @ParisLove87 #TeddyBearTravels #TeddyBearAdventures #TeddyBearLives #TeddyBearLife #TeddyBearsOfInstagram #TeddyBears #TeddyBear #Teddy,https://instagram.com/p/6b1X3em4ig/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11849402_1098624940152487_2012140091_n.jpg,,,,,,,,
"August 16, 2015 at 06:55PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",cammilamoura,,https://instagram.com/p/6b1hbWmHK2/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11809993_860756630684651_1995243737_n.jpg,,,,,,,,
"August 16, 2015 at 06:55PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",sarah.lxyxyxyxy,,https://instagram.com/p/6b1i9SgwMP/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11809865_863410120404149_1027257007_n.jpg,,,,,,,,
"August 16, 2015 at 06:58PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",jeisonrutz,#paris #eiffeltower #eiffel #toureiffel,https://instagram.com/p/6b19zWKUbo/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11296903_1198763963474318_1458421942_n.jpg,,,,,,,,
"August 16, 2015 at 07:02PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",kromberg.inst,???????,https://instagram.com/p/6b2W8yjXNK/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11252132_1647970468783433_530741914_n.jpg,,,,,,,,
"August 16, 2015 at 07:03PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",na_tall,Hello beauty ?? #effeiltower #paris,https://instagram.com/p/6b2c-igcp7/,https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/s640x640/sh0.08/e35/11199414_1705080959713668_776806227_n.jpg,,,,,,,,
"August 16, 2015 at 07:48PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",restlesschild_cz,Some tower and a beautiful sky,https://instagram.com/p/6b7mH9jtKQ/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11821302_658160260950215_325403054_n.jpg,,,,,,,,
"August 16, 2015 at 07:49PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",florr_55,,https://instagram.com/p/6b7vjbCTYn/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11266553_864554836955719_1901628118_n.jpg,,,,,,,,
"August 16, 2015 at 07:49PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",ella_armstrongg,Eiffel Towerin' ?????? #paris #weekend #eiffeltower #lucyisthebest,https://instagram.com/p/6b7xwmPPKZ/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11371141_104075473280318_1804176266_n.jpg,,,,,,,,
"August 16, 2015 at 07:49PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",wesleighdownahill,Paris from the top of the Eiffel Tower. Not even the pouring rain made the view any less amazing.,https://instagram.com/p/6b7zuNvoyu/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11906202_907027876034666_2095003935_n.jpg,,,,,,,,
"August 16, 2015 at 08:56PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",plotnikov_96,???????? ?? ?? ??? ?????? ???? #?????#???????#???????#summer#happy#EiffelTower#????2015#follow,https://instagram.com/p/6cDbAtHt3C/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11809861_626672087436202_2010279161_n.jpg,,,,,,,,
"August 16, 2015 at 08:56PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",moya_sladkaya_n,? ? ?????? ?? ???????? ??????????,https://instagram.com/p/6cDbkXxOlP/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11856690_874924529251012_1565561319_n.jpg,,,,,,,,
"August 16, 2015 at 08:57PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",ellesaitch,Paris ??,https://instagram.com/p/6cDjqoHeyD/,https://scontent.cdninstagram.com/hphotos-xaf1/l/t51.2885-15/e35/11849451_1624197124529019_170011324_n.jpg,,,,,,,,
"August 16, 2015 at 10:53PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",danielaslater1,,https://instagram.com/p/6cQyG6DDgt/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11849188_1477155589269821_913912202_n.jpg,,,,,,,,
"August 16, 2015 at 10:53PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",carolinevande,,https://instagram.com/p/6cQ1jKuvTJ/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11325945_1092949087399270_418750567_n.jpg,,,,,,,,
"August 16, 2015 at 10:55PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",m_sota,Más te miro y más me gustas ?? #París #TourEiffel #jetaime #tresjolie #sena #lacity,https://instagram.com/p/6cRAciO6Vb/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11821175_897019430345998_911999715_n.jpg,,,,,,,,
"August 16, 2015 at 10:56PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",carolinevande,,https://instagram.com/p/6cRNKEuvT0/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11899565_502912829876385_353591951_n.jpg,,,,,,,,
"August 16, 2015 at 10:57PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",mira_me_,"Again  selfie with sparkling eyes?????? ???? ??? ????????????, ???? ????? ???? ??? ???????????... #bestselfie#?????#???????????#???????#?????????????#vscocam#blogger#blog#bonsoir#bestnight#lovely#vscotrip#vscoparis#vscofrance#vscoselfie#instatrip#instaparis#instafrance#instaselfie#selfie#aloneinparis#awesome#withoutfilter#wonderful#beautifulview",https://instagram.com/p/6cRSIOpE8m/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11849282_862777700458379_1730685575_n.jpg,,,,,,,,
"August 16, 2015 at 10:59PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",serg_kov,"?????????, ??? ????? ?? ???????? ) #Eiffelviews #Paris #France",https://instagram.com/p/6cRdPrvxAI/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11909990_1458747304435230_504485502_n.jpg,,,,,,,,
"August 16, 2015 at 10:59PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",alessandra_cangi,"""Dans tout Paris, je m'abandonne"" 
#Paris #TourEiffel #dernieredanse ?",https://instagram.com/p/6cRfFWwKkE/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11373986_736176753155680_592948747_n.jpg,,,,,,,,
"August 16, 2015 at 11:00PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",adokfr,,https://instagram.com/p/6cRoAqP5X7/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e35/11348257_1637782176500259_732328579_n.jpg,,,,,,,,
"August 16, 2015 at 11:01PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",sebaszzz96,Heerlijk een paar daagjes Parijs gehad!,https://instagram.com/p/6cRrnROW8q/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11247553_1466261987009548_876386545_n.jpg,,,,,,,,
"August 16, 2015 at 11:02PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",serg_kov,#Eiffelviews #Paris #France,https://instagram.com/p/6cRzCTvxAz/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11356599_124826987861633_484380198_n.jpg,,,,,,,,
"August 16, 2015 at 11:02PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",neilabendib,??,https://instagram.com/p/6cR2FvgJuq/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11809892_512958952191896_465698852_n.jpg,,,,,,,,
"August 16, 2015 at 11:02PM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",michaeljto,Tears filled my eyes when I saw this in the taxi as we drove up! So many dreams have come true on this trip! #Paris #France #TourEiffel #EiffelTower,https://instagram.com/p/6cR2cJju6c/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11348281_1028086603881979_356919527_n.jpg,,,,,,,,
"August 17, 2015 at 12:50AM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",amrasprzostamouli,,https://instagram.com/p/6ceN52lbh-/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11261285_817704025016061_1193329422_n.jpg,,,,,,,,
"August 17, 2015 at 12:51AM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",hantojan,#selfie #eiffeltower #paris,https://instagram.com/p/6ceTSDiHba/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11875576_1016783111688377_1708289415_n.jpg,,,,,,,,
"August 17, 2015 at 12:53AM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",memesuwaidiii,,https://instagram.com/p/6ceiK3EYCR/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11899565_1520842111539941_150352262_n.jpg,,,,,,,,
"August 17, 2015 at 12:57AM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",rebeccatheodorraa,Hello Paris!??????,https://instagram.com/p/6cfA7tuTf9/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11849023_506349366184702_1092944828_n.jpg,,,,,,,,
"August 17, 2015 at 12:57AM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",hamda3737,Paris????,https://instagram.com/p/6cfBa8pGvv/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11899635_506510442848248_1364935103_n.jpg,,,,,,,,
"August 17, 2015 at 01:00AM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",k_shia,"#icanandiwill ???? non-stop
Sunday pleasure-unplanned itinerary is usually most exciting????
#Nikeplus #NRC #runnerscommunity #WeRunParis",https://instagram.com/p/6cfSf3ia0Z/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e35/11820530_1017705348311071_1911511871_n.jpg,,,,,,,,
"August 17, 2015 at 01:00AM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",vukbmx,#romantic ??,https://instagram.com/p/6cfSlEHinW/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11850409_859898680754521_712640665_n.jpg,,,,,,,,
"August 17, 2015 at 01:01AM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",bastizh,#Paris #toureiffel #eiffeltower #gaybeard #france #selfieparis,https://instagram.com/p/6cfaNbH09z/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11325970_1471847849806503_686836827_n.jpg,,,,,,,,
"August 17, 2015 at 01:01AM",Sunday,Weekend,8am - 4pm,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",dmtsr,?????? ?? ??????? ????????? ????? - ????????,https://instagram.com/p/6cfbAMv8Ng/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11350758_853155524799500_763764622_n.jpg,,,,,,,,
"August 17, 2015 at 04:57AM",Sunday,Weekend,4pm - 12am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",holsunshine,Spent our last day napping beside this bad boy,https://instagram.com/p/6c6gb-ybPv/,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s640x640/sh0.08/e35/11428666_1645804912329246_262006867_n.jpg,,,,,,,,
"August 17, 2015 at 04:57AM",Sunday,Weekend,4pm - 12am,,"https://maps.google.com/?q=48.859025596,2.298117144&z=18",tiigrikutsikas,#eiffeltower #paris #weekendinparis #landmark #symbol,https://instagram.com/p/6c6goBrcgV/,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s640x640/sh0.08/e35/11875448_876441555742830_1401530375_n.jpg,,,,,,,,
