Time stamp,Paris Day text,Paris Day Type,Paris third,Instagram user,Instgram photo
"July 23, 2015 at 09:21PM",Thursday,Weekday,8am - 4pm,oresteya,hi
"July 24, 2015 at 08:01AM",Thursday,Weekday,4pm - 12am,deyaita,hi
"July 22, 2015 at 01:48PM",Wednesday,Weekday,12am - 8am,glennllorente,hi
"July 24, 2015 at 07:50AM",Thursday,Weekday,4pm - 12am,yann_302,hi
"July 23, 2015 at 01:26AM",Wednesday,Weekday,8am - 4pm,reginamanssur1,hi
"July 22, 2015 at 09:40PM",Wednesday,Weekday,8am - 4pm,ednemeth,hi
"July 23, 2015 at 12:35PM",Thursday,Weekday,12am - 8am,christian_trs,hi
"July 23, 2015 at 03:19AM",Wednesday,Weekday,4pm - 12am,yanikask,hi
"July 22, 2015 at 01:37PM",Wednesday,Weekday,12am - 8am,denod,hi
"July 23, 2015 at 02:26AM",Wednesday,Weekday,4pm - 12am,sobolowe,hi
"July 24, 2015 at 06:38AM",Thursday,Weekday,4pm - 12am,nwafy,hi
"July 23, 2015 at 03:24AM",Wednesday,Weekday,4pm - 12am,goodhugheytwin,hi
"July 24, 2015 at 07:54AM",Thursday,Weekday,4pm - 12am,xgeronaxmariax,hi
"July 23, 2015 at 08:37AM",Wednesday,Weekday,4pm - 12am,darius1980,hi
"July 22, 2015 at 10:49PM",Wednesday,Weekday,8am - 4pm,parisbymouth,hi
"July 24, 2015 at 08:38AM",Thursday,Weekday,4pm - 12am,beccahallamx,hi
"July 23, 2015 at 10:44AM",Thursday,Weekday,12am - 8am,mademoiselle_fracchia,hi
"July 23, 2015 at 09:41AM",Wednesday,Weekday,4pm - 12am,askareii,hi
"July 22, 2015 at 01:25PM",Wednesday,Weekday,12am - 8am,bryonywrightdesign,hi
"July 23, 2015 at 10:06PM",Thursday,Weekday,8am - 4pm,melanie_fall,hi
"July 23, 2015 at 09:35PM",Thursday,Weekday,8am - 4pm,mpolikoff,hi
"July 22, 2015 at 11:02PM",Wednesday,Weekday,8am - 4pm,jasonzhang_8925,hi
"July 23, 2015 at 12:02PM",Thursday,Weekday,12am - 8am,zengmu,hi
"July 22, 2015 at 10:34PM",Wednesday,Weekday,8am - 4pm,shannonkcrean,hi
"July 24, 2015 at 06:35AM",Thursday,Weekday,4pm - 12am,zara.marta,hi
"July 23, 2015 at 04:27PM",Thursday,Weekday,12am - 8am,lvxiaoxiao92,hi
"July 23, 2015 at 01:54AM",Wednesday,Weekday,8am - 4pm,veronikadash,hi
"July 23, 2015 at 10:44AM",Thursday,Weekday,12am - 8am,direnece,hi
"July 24, 2015 at 07:44AM",Thursday,Weekday,4pm - 12am,liz_mordovtseva,hi
"July 22, 2015 at 07:39PM",Wednesday,Weekday,8am - 4pm,grace_utomo,hi
"July 24, 2015 at 03:03PM",Friday,Weekday,12am - 8am,pedroluedke,hi
"July 24, 2015 at 06:31AM",Thursday,Weekday,4pm - 12am,svetlanafursova1,hi
"July 24, 2015 at 01:15PM",Friday,Weekday,12am - 8am,aidepartida,hi
"July 23, 2015 at 11:23PM",Thursday,Weekday,8am - 4pm,camis.reis,hi
"July 23, 2015 at 02:18AM",Wednesday,Weekday,4pm - 12am,ruby_sisisi,hi
"July 24, 2015 at 05:47AM",Thursday,Weekday,4pm - 12am,olakanarek,hi
"July 23, 2015 at 11:19AM",Thursday,Weekday,12am - 8am,lillianmichelle14,hi
"July 24, 2015 at 05:47AM",Thursday,Weekday,4pm - 12am,bapt_ou,hi
"July 23, 2015 at 02:26AM",Wednesday,Weekday,4pm - 12am,alita__floresd,hi
"July 22, 2015 at 10:15AM",Wednesday,Weekday,12am - 8am,jia_xin_25,hi
"July 23, 2015 at 09:19AM",Wednesday,Weekday,4pm - 12am,caroline_mou,hi
"July 23, 2015 at 09:45AM",Wednesday,Weekday,4pm - 12am,48.50n_2.20e,hi
"July 23, 2015 at 04:01PM",Thursday,Weekday,12am - 8am,hosta94,hi
"July 23, 2015 at 11:13AM",Thursday,Weekday,12am - 8am,oli_didomenico,hi
"July 24, 2015 at 05:36AM",Thursday,Weekday,4pm - 12am,gennaharari,hi
"July 22, 2015 at 10:49PM",Wednesday,Weekday,8am - 4pm,shannonkcrean,hi
"July 22, 2015 at 08:56PM",Wednesday,Weekday,8am - 4pm,janhendrikgrobbelaar88,hi
"July 24, 2015 at 07:29AM",Thursday,Weekday,4pm - 12am,zecatrevizani,hi
"July 23, 2015 at 02:18AM",Wednesday,Weekday,4pm - 12am,laurafeio,hi
"July 24, 2015 at 03:56AM",Thursday,Weekday,4pm - 12am,picsfromthesticks,hi
"July 24, 2015 at 12:08AM",Thursday,Weekday,8am - 4pm,fedeustare,hi
"July 23, 2015 at 10:31PM",Thursday,Weekday,8am - 4pm,damonblw6982,hi
"July 24, 2015 at 12:17PM",Friday,Weekday,12am - 8am,watsonian004,hi
"July 22, 2015 at 09:00PM",Wednesday,Weekday,8am - 4pm,abpxoxox,hi
"July 22, 2015 at 10:59PM",Wednesday,Weekday,8am - 4pm,christophindle,hi
"July 22, 2015 at 06:13PM",Wednesday,Weekday,8am - 4pm,cltuma,hi
"July 22, 2015 at 11:58PM",Wednesday,Weekday,8am - 4pm,sofiamarcelagar,hi
"July 22, 2015 at 07:42PM",Wednesday,Weekday,8am - 4pm,summer___pc,hi
"July 23, 2015 at 03:14AM",Wednesday,Weekday,4pm - 12am,menleyt,hi
"July 23, 2015 at 09:25PM",Thursday,Weekday,8am - 4pm,ukenova_g,hi
